;;;;;;;;;;;x;;;;
PRV;Provence;;;;;;;;;;x;;;;
PRV_ADJ;Provencal;;;;;;;;;;x;;;;
PRS;Paris;;;;;;;;;;x;;;;
PRS_ADJ;Parisian;;;;;;;;;;x;;;;
NCE;Nice;;;;;;;;;;x;;;;
NCE_ADJ;Nicean;;;;;;;;;;x;;;;
SVO;Savoy;;;;;;;;;;x;;;;
SVO_ADJ;Savoyard;;;;;;;;;;x;;;;
prepared_defenses;Prepared Defenses;;;;;;;;;;x;;;;
prepared_defenses_desc;Prepared Defenses;;;;;;;;;;x;;;;
flintlock_rifles;Flintlock Muskets;;;;;;;;;;x;;;;
flintlock_rifles_desc;Flintlock Muskets;;;;;;;;;;x;;;;
real_flintlock_rifles;Flintlock Rifles;;;;;;;;;;x;;;;
real_flintlock_rifles_desc;Flintlock Rifles;;;;;;;;;;x;;;;
iron_rifled_artillery;Iron Rifled Artillery;;;;;;;;;;x;;;;
iron_rifled_artillery_desc;Iron Rifled Artillery;;;;;;;;;;x;;;;
military_organization;Military Organization;;;;;;;;;;x;;;;
military_organization_desc;Military Organization;;;;;;;;;;x;;;;
army_reservists;Army Reservists;;;;;;;;;;x;;;;
army_reservists_desc;Army Reservists;;;;;;;;;;x;;;;
naval_doctrine_3;Coordinated Operations;;;;;;;;;;x;;;;
naval_doctrine_3_desc;Coordinated Operations;;;;;;;;;;x;;;;
screw_steamers;Screw Steamers;;;;;;;;;;x;;;;
screw_steamers_desc;Screw Steamers;;;;;;;;;;x;;;;
naval_builder_contracts;Naval Builder Contracts;;;;;;;;;;x;;;;
naval_builder_contracts_desc;Naval Builder Contracts;;;;;;;;;;x;;;;
standard_naval_charts;Standard Naval Charts;;;;;;;;;;x;;;;
standard_naval_charts_desc;Standard Naval Charts;;;;;;;;;;x;;;;
naval_autonomy;Naval Autonomy;;;;;;;;;;x;;;;
naval_autonomy_desc;Naval Autonomy;;;;;;;;;;x;;;;
investment_portfolio;Investment Portfolio;;;;;;;;;;x;;;;
investment_portfolio_desc;Investment Portfolio;;;;;;;;;;x;;;;
central_bank_issuance;Central Bank Issuance;;;;;;;;;;x;;;;
central_bank_issuance_desc;Central Bank Issuance;;;;;;;;;;x;;;;
marginalism;Marginalism;;;;;;;;;;x;;;;
marginalism_desc;Marginalism;;;;;;;;;;x;;;;
public_securities;Public Securities;;;;;;;;;;x;;;;
public_securities_desc;Public Securities;;;;;;;;;;x;;;;
workmen_combinations;Workmen Combinations;;;;;;;;;;x;;;;
workmen_combinations_desc;Workmen Combinations;;;;;;;;;;x;;;;
photography;Photography;;;;;;;;;;x;;;;
photography_desc;Photography;;;;;;;;;;x;;;;
materialism;Materialism;;;;;;;;;;x;;;;
materialism_desc;Materialism;;;;;;;;;;x;;;;
utilitarianism;Utilitarianism;;;;;;;;;;x;;;;
utilitarianism_desc;Utilitarianism;;;;;;;;;;x;;;;
class_theory;Class Theory;;;;;;;;;;x;;;;
class_theory_desc;Class Theory;;;;;;;;;;x;;;;
intentionalism;Intentionalism;;;;;;;;;;x;;;;
intentionalism_desc;Intentionalism;;;;;;;;;;x;;;;
compound_steam_engine;Compound Steam Engine;;;;;;;;;;x;;;;
compound_steam_engine_desc;Compound Steam Engine;;;;;;;;;;x;;;;
pattern_production;Pattern Production;;;;;;;;;;x;;;;
pattern_production_desc;Pattern Production;;;;;;;;;;x;;;;
cheap_zinc;Cheap Zinc;;;;;;;;;;x;;;;
cheap_zinc_desc;Cheap Zinc;;;;;;;;;;x;;;;
standard_gauges;Standard Gauges;;;;;;;;;;x;;;;
standard_gauges_desc;Standard Gauges;;;;;;;;;;x;;;;
electromagnetism;Electromagnetism;;;;;;;;;;x;;;;
electromagnetism_desc;Electromagnetism;;;;;;;;;;x;;;;
experimental_railroad;Steam Locomotives;;;;;;;;;;x;;;;
experimental_railroad_desc;Steam Locomotives;;;;;;;;;;x;;;;
early_railroad;Steam Railway;;;;;;;;;;x;;;;
early_railroad_desc;Steam Railway;;;;;;;;;;x;;;;
flintlock_rifle_armament;Flintlock Musket Armament;;;;;;;;;;x;;;;
embrace_arabian_identity_title;The New Egypt;;;;;;;;;;x;;;;
embrace_arabian_identity_desc;For too long, the old Polish nobility has dominated every facet of life in Egypt. It is time we introduced a new order and embraced the culture of the masses, the Arabs and Turks, and cast off the stifling shackles of Polish supremacy.;;;;;;;;;;x;;;;
